"operator","inout_travelling","network_type","rating","calldrop_category","latitude","longitude","state_name"
"VI","Travelling","Unknown","4","Satisfactory","20.78712379","78.12144811","Maharashtra"
"VI","Travelling","Unknown","1","Poor Voice Quality","20.78712379","78.12144811","Maharashtra"
"VI","Travelling","Unknown","4","Satisfactory","18.91393396","73.15273385","Maharashtra"
"Airtel","Indoor","Unknown","4","Satisfactory","13.93661507","75.54684658","Karnataka"
"RJio","Outdoor","4G","5","Satisfactory","-1","-1","NA"
"RJio","Outdoor","Unknown","5","Satisfactory","-1","-1","NA"
"VI","Indoor","4G","5","Satisfactory","18.03267298","73.38423717","Maharashtra"
"Airtel","Travelling","4G","1","Call Dropped","-1","-1","NA"
"Airtel","Indoor","Unknown","4","Satisfactory","13.93673075","75.5482686","Karnataka"
"RJio","Outdoor","4G","1","Poor Voice Quality","-1","-1","NA"
"RJio","Indoor","4G","1","Poor Voice Quality","28.74372895","77.07640938","Delhi"
"RJio","Outdoor","4G","1","Call Dropped","28.74370053","77.07616521","Delhi"
"BSNL","Indoor","3G","1","Poor Voice Quality","29.3931963","79.4411694","Uttarakhand"
"Airtel","Indoor","Unknown","4","Satisfactory","13.94387297","75.58273647","Karnataka"
"Airtel","Indoor","4G","4","Satisfactory","13.94516581","75.57416631","Karnataka"
"Airtel","Indoor","Unknown","4","Satisfactory","13.93671347","75.54814735","Karnataka"
"Airtel","Travelling","4G","2","Poor Voice Quality","-1","-1","NA"
"Airtel","Travelling","2G","1","Call Dropped","27.0899496","74.8545509","Rajasthan"
"Airtel","Travelling","4G","2","Poor Voice Quality","-1","-1","NA"
"Airtel","Travelling","2G","3","Poor Voice Quality","-1","-1","NA"
"Airtel","Travelling","4G","1","Call Dropped","-1","-1","NA"
"RJio","Indoor","4G","1","Call Dropped","-1","-1","NA"
"RJio","Indoor","4G","3","Satisfactory","-1","-1","NA"
"RJio","Outdoor","4G","5","Satisfactory","-1","-1","NA"
"RJio","Outdoor","Unknown","5","Satisfactory","-1","-1","NA"
"RJio","Outdoor","Unknown","5","Satisfactory","-1","-1","NA"
"RJio","Outdoor","Unknown","5","Satisfactory","-1","-1","NA"
"RJio","Outdoor","4G","5","Satisfactory","-1","-1","NA"
"Airtel","Indoor","Unknown","4","Satisfactory","13.93664602","75.54827915","Karnataka"
"Airtel","Indoor","Unknown","4","Satisfactory","13.9368897","75.54798214","Karnataka"
"VI","Indoor","4G","1","Poor Voice Quality","26.45955152","80.34152113","Uttar Pradesh"
"VI","Outdoor","4G","5","Satisfactory","-1","-1","NA"
"VI","Indoor","4G","5","Satisfactory","21.08528119","81.0211025","Chhattisgarh"
"VI","Indoor","4G","5","Satisfactory","-1","-1","NA"
"VI","Indoor","4G","5","Satisfactory","-1","-1","NA"
"VI","Indoor","4G","5","Satisfactory","-1","-1","NA"
"VI","Outdoor","4G","5","Satisfactory","-1","-1","NA"
"RJio","Outdoor","4G","1","Poor Voice Quality","-1","-1","NA"
"RJio","Outdoor","Unknown","5","Satisfactory","-1","-1","NA"
"RJio","Outdoor","Unknown","5","Satisfactory","-1","-1","NA"
"Airtel","Indoor","4G","2","Poor Voice Quality","12.24229667","78.177005","Tamil Nadu"
"Airtel","Indoor","4G","2","Poor Voice Quality","12.24229667","78.177005","Tamil Nadu"
