"operator","inout_travelling","network_type","rating","calldrop_category","latitude","longitude","state_name"
"VI","Outdoor","4G","5","Satisfactory","23.05003621","72.51597638","Gujarat"
"VI","Outdoor","4G","5","Satisfactory","23.0500541","72.51594121","Gujarat"
"VI","Outdoor","4G","5","Satisfactory","23.04999259","72.51588147","Gujarat"
"RJio","Indoor","4G","5","Satisfactory","15.86712167","74.51106","Karnataka"
"RJio","Indoor","4G","5","Satisfactory","15.86712167","74.51106","Karnataka"
"VI","Outdoor","4G","5","Satisfactory","23.05169905","72.51347963","Gujarat"
"Airtel","Indoor","Unknown","5","Satisfactory","12.9361399","77.6945946","Karnataka"
"VI","Outdoor","4G","5","Satisfactory","23.10526311","72.4727117","Gujarat"
"VI","Outdoor","4G","5","Satisfactory","23.10132892","72.47992301","Gujarat"
"VI","Outdoor","4G","4","Satisfactory","23.05182588","72.48984192","Gujarat"
"VI","Outdoor","4G","5","Satisfactory","23.0502807","72.51603335","Gujarat"
"VI","Outdoor","4G","5","Satisfactory","23.05001414","72.5161184","Gujarat"
"VI","Outdoor","4G","5","Satisfactory","23.05001161","72.51624112","Gujarat"
"VI","Outdoor","4G","5","Satisfactory","23.03912636","72.52170566","Gujarat"
"RJio","Indoor","4G","1","Call Dropped","-1","-1","NA"
"VI","Outdoor","4G","5","Satisfactory","23.03943438","72.5214874","Gujarat"
"VI","Outdoor","4G","5","Satisfactory","23.03942297","72.52153202","Gujarat"
"VI","Indoor","4G","5","Satisfactory","29.1686238","75.6918328","Haryana"
"Airtel","Indoor","4G","5","Satisfactory","12.9359099","77.694296","Karnataka"
"Airtel","Outdoor","4G","1","Call Dropped","-1","-1","NA"
"RJio","Indoor","Unknown","3","Satisfactory","30.10477165","78.28767361","Uttarakhand"
"RJio","Indoor","4G","3","Satisfactory","30.1047299","78.2876631","Uttarakhand"
"Airtel","Indoor","4G","5","Satisfactory","12.9358883","77.6947466","Karnataka"
"VI","Indoor","4G","5","Satisfactory","13.03567858","77.59321157","Karnataka"
