operator,inout_travelling,network_type,rating,calldrop_category,latitude,longitude,state_name,month,year
BSNL,Outdoor,2G,4,Satisfactory,-1.0,-1.0,,April,2022
RJio,Outdoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Outdoor,4G,4,Satisfactory,-1.0,-1.0,,April,2022
RJio,Outdoor,4G,3,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,,4,Satisfactory,-1.0,-1.0,,April,2022
VI,Indoor,4G,2,Poor Voice Quality,18.9550248,72.8013764,Maharashtra,April,2022
VI,Indoor,4G,4,Satisfactory,-1.0,-1.0,,April,2022
VI,Indoor,4G,4,Satisfactory,-1.0,-1.0,,April,2022
VI,Outdoor,4G,4,Satisfactory,-1.0,-1.0,,April,2022
Airtel,Indoor,4G,2,Poor Voice Quality,-1.0,-1.0,,April,2022
Airtel,Outdoor,4G,3,Poor Voice Quality,-1.0,-1.0,,April,2022
BSNL,Outdoor,,4,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Outdoor,2G,1,Poor Voice Quality,-1.0,-1.0,,April,2022
BSNL,Indoor,2G,1,Poor Voice Quality,-1.0,-1.0,,April,2022
BSNL,Outdoor,,3,Satisfactory,17.757855,82.36932333,Andhra Pradesh,April,2022
BSNL,Outdoor,,4,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Outdoor,,1,Poor Voice Quality,-1.0,-1.0,,April,2022
BSNL,Outdoor,2G,4,Satisfactory,-1.0,-1.0,,April,2022
Airtel,Indoor,2G,4,Satisfactory,13.93669208,75.54825521,Karnataka,April,2022
BSNL,Indoor,2G,2,Poor Voice Quality,-1.0,-1.0,,April,2022
BSNL,Indoor,,1,Poor Voice Quality,17.7561041,82.3699042,Andhra Pradesh,April,2022
BSNL,Indoor,,1,Poor Voice Quality,17.7561041,82.3699042,Andhra Pradesh,April,2022
BSNL,Indoor,,3,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Indoor,,3,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,5,Satisfactory,12.9513343,77.4929125,Karnataka,April,2022
RJio,Outdoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Outdoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Outdoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Indoor,4G,3,Satisfactory,-1.0,-1.0,,April,2022
RJio,Outdoor,4G,3,Satisfactory,-1.0,-1.0,,April,2022
Airtel,Outdoor,4G,4,Satisfactory,10.3029808,76.2231175,Kerala,April,2022
VI,Indoor,4G,5,Satisfactory,23.16374,77.4462863,Madhya Pradesh,April,2022
Airtel,Indoor,4G,1,Call Dropped,-1.0,-1.0,,April,2022
BSNL,Outdoor,3G,4,Satisfactory,29.393754,79.4400141,Uttarakhand,April,2022
BSNL,Outdoor,3G,3,Satisfactory,29.393754,79.4400141,Uttarakhand,April,2022
RJio,Outdoor,4G,3,Poor Voice Quality,-1.0,-1.0,,April,2022
RJio,Outdoor,4G,3,Satisfactory,-1.0,-1.0,,April,2022
VI,Indoor,4G,1,Poor Voice Quality,-1.0,-1.0,,April,2022
VI,Outdoor,4G,1,Poor Voice Quality,-1.0,-1.0,,April,2022
VI,Travelling,2G,1,Poor Voice Quality,-1.0,-1.0,,April,2022
VI,Indoor,2G,1,Poor Voice Quality,-1.0,-1.0,,April,2022
VI,Indoor,2G,1,Poor Voice Quality,-1.0,-1.0,,April,2022
VI,Indoor,2G,1,Poor Voice Quality,-1.0,-1.0,,April,2022
VI,Indoor,2G,1,Call Dropped,-1.0,-1.0,,April,2022
RJio,Outdoor,4G,3,Satisfactory,-1.0,-1.0,,April,2022
RJio,Outdoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
RJio,Outdoor,4G,5,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Indoor,3G,4,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Outdoor,3G,4,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Outdoor,3G,4,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Outdoor,3G,4,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Outdoor,3G,4,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Outdoor,3G,4,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Travelling,2G,4,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Outdoor,2G,4,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Outdoor,2G,4,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Outdoor,2G,4,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Outdoor,2G,3,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Outdoor,,4,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Indoor,,3,Satisfactory,17.7581059,82.3693916,Andhra Pradesh,April,2022
BSNL,Indoor,3G,3,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Indoor,2G,3,Satisfactory,-1.0,-1.0,,April,2022
BSNL,Indoor,2G,2,Call Dropped,-1.0,-1.0,,April,2022
RJio,Outdoor,4G,3,Satisfactory,-1.0,-1.0,,April,2022
RJio,Outdoor,4G,3,Satisfactory,-1.0,-1.0,,April,2022
